0,1
387,445
391,226
402,255
431,445
432,343
434,383
455,468
496,234
497,235
499,235
499,237
500,303
501,230
501,229
502,380
503,381
504,229
505,386
505,236
505,222
506,387
506,226
506,374
506,373
507,230
508,378
509,382
509,385
509,230
509,380
510,227
510,224
510,230
510,392
511,374
511,386
511,222
511,375
512,382
512,391
513,395
513,375
513,372
513,373
513,378
513,229
514,378
514,387
514,234
514,386
515,390
515,372
515,387
516,377
516,221
516,236
516,234
516,385
517,230
517,372
518,384
518,388
519,393
519,392
519,239
519,232
520,393
520,390
521,223
521,384
521,374
521,390
521,231
522,390
522,222
523,372
523,379
523,387
524,227
524,380
524,387
525,229
526,374
526,380
526,234
527,384
527,237
527,376
528,236
528,383
530,220
530,229
531,238
532,221
532,228
534,236
534,230
535,233
535,225
536,231
536,226
536,465
537,230
537,191
538,226
540,223
540,219
541,229
542,227
542,228
543,217
543,234
544,219
544,239
544,235
544,234
544,433
545,237
547,238
547,236
548,237
550,232
550,240
550,229
550,222
551,234
552,229
553,223
554,283
554,223
556,233
556,226
557,227
558,239
558,229
558,234
559,232
560,230
560,223
561,225
561,233
562,234
563,228
564,219
564,237
565,230
566,236
566,223
566,219
568,224
570,237
571,235
572,229
572,232
574,224
575,237
575,223
576,230
577,234
577,224
577,233
578,232
578,234
579,228
581,222
581,226
581,224
582,224
582,240
582,242
583,227
583,231
585,239
586,234
586,244
587,225
587,231
588,238
588,441
588,226
589,231
590,238
591,152
592,243
593,240
594,427
595,239
595,463
597,436
598,222
599,232
599,236
600,445
600,401
600,230
600,233
600,226
601,429
601,228
602,242
602,463
602,439
602,419
602,224
603,241
603,240
605,241
605,228
606,405
606,472
606,411
607,237
607,230
607,232
608,235
608,420
609,227
610,457
611,227
611,421
612,454
612,433
612,239
612,233
614,416
614,229
614,441
615,239
615,418
616,465
616,229
616,226
616,449
617,227
617,454
617,414
617,236
617,230
618,431
618,437
618,233
618,439
619,232
620,453
621,412
622,470
622,420
623,425
623,399
623,234
623,451
624,233
624,415
624,230
624,413
625,244
626,240
626,394
626,230
626,433
627,227
627,244
628,230
628,251
628,233
629,226
629,432
629,234
630,249
630,225
630,237
630,245
631,236
631,231
631,229
632,452
632,463
633,214
633,225
633,442
633,325
633,398
633,258
634,463
634,416
634,407
634,162
635,219
635,255
635,239
635,216
635,213
636,468
636,444
636,222
636,241
637,424
637,238
637,234
637,214
637,213
637,211
637,219
637,239
637,231
638,255
638,246
638,218
638,464
638,210
638,205
639,239
639,232
639,434
639,261
639,217
639,203
639,215
640,253
640,211
640,448
641,253
641,243
642,231
642,458
643,259
643,412
643,210
643,204
644,238
644,211
644,427
644,202
644,408
645,262
645,209
645,265
645,254
646,419
646,237
646,194
646,247
647,257
647,432
647,409
648,199
648,433
648,443
648,463
648,251
648,203
648,202
649,207
649,210
649,244
649,257
650,279
650,250
650,201
650,253
651,266
651,267
651,264
651,197
651,276
652,244
652,422
652,207
652,252
652,447
652,259
653,255
653,197
653,191
654,273
654,207
654,196
654,453
654,257
655,260
656,203
656,196
656,268
656,269
656,267
657,272
657,184
657,413
657,264
657,201
658,267
658,422
658,438
658,264
658,203
659,438
659,271
659,429
659,398
659,414
659,467
660,262
660,185
660,462
660,448
661,266
661,269
662,401
662,199
663,187
663,200
663,265
663,422
663,406
664,277
664,275
664,185
664,276
664,267
664,265
664,193
665,185
665,200
665,192
665,273
665,465
665,280
666,264
666,193
666,434
667,187
667,277
667,441
667,269
667,273
667,453
668,270
668,198
668,276
670,280
670,268
670,193
670,190
671,273
672,274
672,181
672,183
673,199
673,281
673,278
674,178
674,195
675,275
675,178
675,199
676,188
676,407
676,435
676,279
676,185
676,273
677,183
677,189
677,194
678,194
678,182
679,233
679,189
681,181
681,227
682,188
682,237
683,223
683,228
684,186
685,227
685,226
685,186
686,226
686,194
686,187
687,225
687,228
687,237
687,232
687,182
688,192
688,230
689,182
689,232
689,187
689,183
689,229
693,225
693,231
694,228
694,221
695,231
696,228
696,230
697,231
699,239
699,236
700,228
700,238
700,227
700,237
700,225
701,225
702,235
702,237
702,232
703,244
703,229
703,234
703,237
704,222
705,222
706,222
707,222
708,226
708,224
708,228
709,243
709,228
710,222
711,235
711,230
711,240
712,237
712,241
712,235
713,232
713,510
713,228
714,229
714,223
715,235
715,233
715,232
716,228
717,230
717,227
717,240
717,233
717,232
717,226
719,227
720,232
722,227
722,242
722,238
723,225
724,242
725,230
725,225
725,236
725,228
726,234
726,226
726,227
726,239
727,237
728,233
728,420
729,237
729,229
729,230
730,233
730,222
731,496
731,232
732,227
733,231
733,232
734,234
735,233
736,223
736,224
737,226
753,334
755,157
